iter	Passed	Remaining
591	7416	5111
592	7433	5101
593	7448	5091
594	7462	5079
595	7477	5068
596	7489	5055
597	7499	5041
598	7512	5029
599	7525	5016
600	7533	5001
601	7545	4988
602	7554	4974
603	7565	4960
604	7576	4946
605	7588	4933
606	7597	4919
607	7608	4905
608	7621	4893
609	7632	4879
610	7643	4866
611	7655	4853
612	7665	4839
613	7676	4825
614	7688	4813
615	7698	4799
616	7710	4786
617	7721	4772
618	7732	4759
619	7742	4745
620	7754	4732
621	7766	4719
622	7776	4705
623	7788	4692
624	7800	4680
625	7815	4669
626	7826	4656
627	7838	4642
628	7863	4638
629	7879	4627
630	7895	4617
631	7908	4604
632	7927	4595
633	7941	4584
634	7957	4574
635	7973	4563
636	7985	4550
637	8002	4540
638	8018	4530
639	8037	4521
640	8053	4510
641	8074	4502
642	8085	4489
643	8097	4476
644	8112	4465
645	8126	4453
646	8136	4439
647	8149	4426
648	8162	4414
649	8171	4400
650	8185	4388
651	8199	4376
652	8210	4363
653	8222	4350
654	8233	4336
655	8242	4322
656	8256	4310
657	8264	4295
658	8276	4282
659	8285	4268
660	8299	4256
661	8311	4243
662	8326	4232
663	8336	4218
664	8347	4205
665	8361	4193
666	8372	4180
667	8384	4167
668	8394	4153
669	8406	4140
670	8417	4127
671	8429	4114
672	8439	4100
673	8451	4088
674	8463	4075
675	8473	4061
676	8484	4047
677	8495	4034
678	8507	4021
679	8517	4008
680	8533	3997
681	8542	3983
682	8552	3969
683	8561	3955
684	8574	3942
685	8588	3931
686	8603	3919
687	8615	3906
688	8626	3893
689	8638	3880
690	8649	3868
691	8661	3855
692	8673	3842
693	8685	3829
694	8697	3816
695	8709	3804
696	8725	3793
697	8737	3780
698	8748	3767
699	8760	3754
700	8772	3741
701	8783	3728
702	8794	3715
703	8806	3702
704	8815	3688
705	8826	3675
706	8839	3663
707	8851	3650
708	8863	3637
709	8875	3625
710	8887	3612
711	8913	3605
712	8937	3597
713	8949	3584
714	8960	3571
715	8973	3559
716	8994	3549
717	9008	3538
718	9024	3526
719	9034	3513
720	9045	3500
721	9056	3487
722	9066	3473
723	9077	3460
724	9088	3447
725	9098	3433
726	9109	3420
727	9120	3407
728	9130	3394
729	9141	3381
730	9151	3367
731	9173	3358
732	9184	3345
733	9197	3333
734	9208	3320
735	9217	3306
736	9229	3293
737	9239	3279
738	9248	3266
739	9263	3254
740	9275	3241
741	9288	3229
742	9300	3217
743	9313	3204
744	9323	3191
745	9334	3178
746	9351	3167
747	9367	3155
748	9379	3143
749	9391	3130
750	9403	3117
751	9413	3104
752	9427	3092
753	9440	3080
754	9457	3068
755	9468	3056
756	9483	3044
757	9497	3032
758	9508	3019
759	9518	3005
760	9529	2992
761	9541	2980
762	9551	2966
763	9562	2953
764	9573	2940
765	9583	2927
766	9594	2914
767	9605	2901
768	9615	2888
769	9629	2876
770	9639	2862
771	9649	2849
772	9658	2836
773	9668	2822
774	9677	2809
775	9687	2796
776	9696	2783
777	9707	2769
778	9718	2757
779	9728	2743
780	9738	2730
781	9748	2717
782	9759	2704
783	9768	2691
784	9777	2677
785	9786	2664
786	9795	2651
787	9807	2638
788	9820	2626
789	9830	2613
790	9839	2599
791	9855	2588
792	9876	2578
793	9887	2565
794	9901	2553
795	9911	2540
796	9925	2528
797	9937	2515
798	9948	2502
799	9959	2489
800	9972	2477
801	9989	2466
802	10006	2454
803	10017	2442
804	10028	2429
805	10038	2416
806	10049	2403
807	10060	2390
808	10071	2377
809	10083	2365
810	10094	2352
811	10107	2340
812	10117	2327
813	10127	2314
814	10139	2301
815	10151	2288
816	10161	2276
817	10172	2263
818	10183	2250
819	10195	2237
820	10207	2225
821	10218	2212
822	10230	2200
823	10241	2187
824	10252	2174
825	10262	2161
826	10274	2149
827	10285	2136
828	10297	2124
829	10309	2111
830	10320	2098
831	10331	2086
832	10344	2073
833	10355	2061
834	10367	2048
835	10382	2036
836	10392	2023
837	10402	2011
838	10411	1997
839	10422	1985
840	10432	1972
841	10443	1959
842	10454	1946
843	10463	1933
844	10473	1921
845	10484	1908
846	10511	1898
847	10528	1887
848	10540	1874
849	10551	1862
850	10562	1849
851	10573	1836
852	10583	1823
853	10591	1810
854	10603	1798
855	10612	1785
856	10622	1772
857	10631	1759
858	10641	1746
859	10651	1733
860	10659	1720
861	10670	1708
862	10679	1695
863	10689	1682
864	10698	1669
865	10709	1657
866	10718	1644
867	10729	1631
868	10739	1618
869	10748	1606
870	10757	1593
871	10768	1580
872	10778	1568
873	10789	1555
874	10798	1542
875	10808	1530
876	10817	1517
877	10826	1504
878	10835	1491
879	10844	1478
880	10854	1466
881	10864	1453
882	10877	1441
883	10887	1428
884	10899	1416
885	10912	1404
886	10921	1391
887	10934	1379
888	10944	1366
889	10956	1354
890	10967	1341
891	10978	1329
892	10991	1316
893	11003	1304
894	11014	1292
895	11025	1279
896	11036	1267
897	11047	1254
898	11057	1242
899	11069	1229
900	11079	1217
